HCON_00000010	WBGene00001242
HCON_00007010	WBGene00006038
HCON_00007010	WBGene00009684
HCON_00007010	WBGene00006044
HCON_00007010	WBGene00009682
HCON_00007020	WBGene00001596
HCON_00007060	WBGene00022140
HCON_00007110	WBGene00006856
HCON_00007120	WBGene00000251
HCON_00007130	WBGene00021846
HCON_00007180	WBGene00007024
HCON_00007190	WBGene00012164
HCON_00007250	WBGene00011026
HCON_00007260	WBGene00001050
HCON_00007290	WBGene00000962
HCON_00007300	WBGene00008768
HCON_00007310	WBGene00007056
HCON_00007320	WBGene00008801
HCON_00007320	WBGene00008804
HCON_00007320	WBGene00008802
HCON_00007330	WBGene00016836
HCON_00007340	WBGene00021831
HCON_00007360	WBGene00003798
HCON_00007390	WBGene00012169
HCON_00007390	WBGene00016673
HCON_00007390	WBGene00007305
HCON_00007430	WBGene00016808
HCON_00007440	WBGene00021830
HCON_00007450	WBGene00021827
HCON_00007460	WBGene00015233
HCON_00007480	WBGene00015231
HCON_00007510	WBGene00011235
HCON_00007530	WBGene00020347
HCON_00007530	WBGene00001150
HCON_00007540	WBGene00000086
HCON_00007590	WBGene00010587
HCON_00007650	WBGene00021765
HCON_00007660	WBGene00021766
HCON_00007670	WBGene00016171
HCON_00007680	WBGene00006754
HCON_00007690	WBGene00006306
HCON_00007700	WBGene00008543
HCON_00007720	WBGene00021771
HCON_00007730	WBGene00003111
HCON_00007740	WBGene00044438
HCON_00007750	WBGene00021764
HCON_00007760	WBGene00011860
HCON_00007770	WBGene00015645
HCON_00007780	WBGene00004798
HCON_00007810	WBGene00018064
HCON_00007830	WBGene00003934
HCON_00007850	WBGene00009366
HCON_00007860	WBGene00007733
HCON_00007860	WBGene00020661
HCON_00007870	WBGene00007733
HCON_00007870	WBGene00020661
HCON_00007880	WBGene00014101
HCON_00007890	WBGene00002979
HCON_00007940	WBGene00017063
HCON_00007950	WBGene00000082
HCON_00007960	WBGene00007302
HCON_00008000	WBGene00003052
HCON_00008010	WBGene00008315
HCON_00008020	WBGene00018764
HCON_00008030	WBGene00019710
HCON_00008030	WBGene00017673
HCON_00008040	WBGene00044423
HCON_00008050	WBGene00015168
HCON_00008060	WBGene00004134
HCON_00008060	WBGene00008999
HCON_00008080	WBGene00001215
HCON_00008090	WBGene00000010
HCON_00008090	WBGene00000005
HCON_00008100	WBGene00016245
HCON_00008110	WBGene00000706
HCON_00008110	WBGene00000655
HCON_00008110	WBGene00000640
HCON_00008120	WBGene00017902
HCON_00008120	WBGene00016730
HCON_00008130	WBGene00006932
HCON_00008140	WBGene00000814
HCON_00008150	WBGene00000703
HCON_00008170	WBGene00000703
HCON_00008180	WBGene00001022
HCON_00008190	WBGene00000965
HCON_00008200	WBGene00002174
HCON_00008230	WBGene00020223
HCON_00008230	WBGene00010366
HCON_00008230	WBGene00019086
HCON_00008270	WBGene00000703
HCON_00008280	WBGene00000703
HCON_00008300	WBGene00016534
HCON_00008310	WBGene00022130
HCON_00008320	WBGene00009119
HCON_00008330	WBGene00008599
HCON_00008340	WBGene00021363
HCON_00008340	WBGene00006387
HCON_00008350	WBGene00007252
HCON_00008370	WBGene00004259
HCON_00008390	WBGene00003435
HCON_00008390	WBGene00003438
HCON_00008390	WBGene00003470
HCON_00008390	WBGene00003458
HCON_00008390	WBGene00022005
HCON_00008390	WBGene00003443
HCON_00008390	WBGene00003467
HCON_00008390	WBGene00021997
HCON_00008390	WBGene00013047
HCON_00008390	WBGene00003468
HCON_00008390	WBGene00003449
HCON_00008390	WBGene00013777
HCON_00008390	WBGene00003452
HCON_00008390	WBGene00003444
HCON_00008390	WBGene00003425
HCON_00008390	WBGene00003434
HCON_00008390	WBGene00003457
HCON_00008390	WBGene00003469
HCON_00008390	WBGene00003430
HCON_00008390	WBGene00003426
HCON_00008390	WBGene00003432
HCON_00008390	WBGene00022002
HCON_00008390	WBGene00003451
HCON_00008390	WBGene00003431
HCON_00008390	WBGene00003448
HCON_00008390	WBGene00003429
HCON_00008390	WBGene00003464
HCON_00008390	WBGene00022884
HCON_00008390	WBGene00003466
HCON_00008390	WBGene00003465
HCON_00008390	WBGene00003446
HCON_00008390	WBGene00003450
HCON_00008390	WBGene00003424
HCON_00008400	WBGene00003435
HCON_00008400	WBGene00003438
HCON_00008400	WBGene00003470
HCON_00008400	WBGene00003458
HCON_00008400	WBGene00022005
HCON_00008400	WBGene00003443
HCON_00008400	WBGene00003467
HCON_00008400	WBGene00021997
HCON_00008400	WBGene00013047
HCON_00008400	WBGene00003468
HCON_00008400	WBGene00003449
HCON_00008400	WBGene00013777
HCON_00008400	WBGene00003452
HCON_00008400	WBGene00003444
HCON_00008400	WBGene00003425
HCON_00008400	WBGene00003434
HCON_00008400	WBGene00003457
HCON_00008400	WBGene00003469
HCON_00008400	WBGene00003430
HCON_00008400	WBGene00003426
HCON_00008400	WBGene00003432
HCON_00008400	WBGene00022002
HCON_00008400	WBGene00003451
HCON_00008400	WBGene00003431
HCON_00008400	WBGene00003448
HCON_00008400	WBGene00003429
HCON_00008400	WBGene00003464
HCON_00008400	WBGene00022884
HCON_00008400	WBGene00003466
HCON_00008400	WBGene00003465
HCON_00008400	WBGene00003446
HCON_00008400	WBGene00003450
HCON_00008400	WBGene00003424
HCON_00008410	WBGene00003435
HCON_00008410	WBGene00003438
HCON_00008410	WBGene00003470
HCON_00008410	WBGene00003458
HCON_00008410	WBGene00022005
HCON_00008410	WBGene00003443
HCON_00008410	WBGene00003467
HCON_00008410	WBGene00021997
HCON_00008410	WBGene00013047
HCON_00008410	WBGene00003468
HCON_00008410	WBGene00003449
HCON_00008410	WBGene00013777
HCON_00008410	WBGene00003452
HCON_00008410	WBGene00003444
HCON_00008410	WBGene00003425
HCON_00008410	WBGene00003434
HCON_00008410	WBGene00003457
HCON_00008410	WBGene00003469
HCON_00008410	WBGene00003430
HCON_00008410	WBGene00003426
HCON_00008410	WBGene00003432
HCON_00008410	WBGene00022002
HCON_00008410	WBGene00003451
HCON_00008410	WBGene00003431
HCON_00008410	WBGene00003448
HCON_00008410	WBGene00003429
HCON_00008410	WBGene00003464
HCON_00008410	WBGene00022884
HCON_00008410	WBGene00003466
HCON_00008410	WBGene00003465
HCON_00008410	WBGene00003446
HCON_00008410	WBGene00003450
HCON_00008410	WBGene00003424
HCON_00008420	WBGene00001725
HCON_00008430	WBGene00021351
HCON_00008440	WBGene00004014
HCON_00008450	WBGene00021350
HCON_00008460	WBGene00004409
HCON_00008470	WBGene00021349
HCON_00008490	WBGene00015820
HCON_00008490	WBGene00009321
HCON_00008510	WBGene00020626
HCON_00008520	WBGene00012168
HCON_00008530	WBGene00004798
HCON_00008550	WBGene00004798
HCON_00008600	WBGene00004798
HCON_00008620	WBGene00004798
HCON_00008640	WBGene00004798
HCON_00008650	WBGene00004798
HCON_00008670	WBGene00004798
HCON_00008690	WBGene00004798
HCON_00008710	WBGene00004798
HCON_00008740	WBGene00018791
HCON_00008750	WBGene00002136
HCON_00008760	WBGene00020259
HCON_00008770	WBGene00020931
HCON_00008780	WBGene00004883
HCON_00008790	WBGene00006773
HCON_00008800	WBGene00018002
HCON_00008820	WBGene00016333
HCON_00008830	WBGene00016333
HCON_00008840	WBGene00000089
HCON_00008850	WBGene00011629
HCON_00008860	WBGene00011630
HCON_00008900	WBGene00006641
HCON_00008910	WBGene00009958
HCON_00008970	WBGene00011064
HCON_00008980	WBGene00011065
HCON_00008990	WBGene00012352
HCON_00009000	WBGene00003948
HCON_00009030	WBGene00009305
HCON_00009040	WBGene00008856
HCON_00009050	WBGene00010011
HCON_00009050	WBGene00000803
HCON_00009060	WBGene00008857
HCON_00009070	WBGene00004109
HCON_00009080	WBGene00000485
HCON_00009100	WBGene00011352
HCON_00009140	WBGene00011353
HCON_00009160	WBGene00008806
HCON_00009190	WBGene00010338
HCON_00009200	WBGene00011944
HCON_00009210	WBGene00019074
HCON_00009230	WBGene00000284
HCON_00009240	WBGene00004924
HCON_00009250	WBGene00008400
HCON_00009310	WBGene00000506
HCON_00009320	WBGene00020516
HCON_00009330	WBGene00006654
HCON_00009340	WBGene00020378
HCON_00009350	WBGene00011969
HCON_00009370	WBGene00011971
HCON_00009390	WBGene00011975
HCON_00009400	WBGene00012735
HCON_00009410	WBGene00012344
HCON_00009420	WBGene00004915
HCON_00009440	WBGene00009618
HCON_00009450	WBGene00021662
HCON_00009450	WBGene00255594
HCON_00009450	WBGene00021667
HCON_00009450	WBGene00015098
HCON_00009500	WBGene00020935
HCON_00009530	WBGene00007256
HCON_00009590	WBGene00021645
HCON_00009610	WBGene00016494
HCON_00009620	WBGene00001056
HCON_00009630	WBGene00001598
HCON_00009630	WBGene00001599
HCON_00009630	WBGene00001600
HCON_00009640	WBGene00019245
HCON_00009650	WBGene00021475
HCON_00009660	WBGene00021466
HCON_00009670	WBGene00003156
HCON_00009730	WBGene00006659
HCON_00009740	WBGene00006367
HCON_00009770	WBGene00003238
HCON_00009780	WBGene00010682
HCON_00009790	WBGene00003578
HCON_00009810	WBGene00014120
HCON_00009820	WBGene00014119
HCON_00009830	WBGene00014118
HCON_00009860	WBGene00003842
HCON_00009870	WBGene00011586
HCON_00009880	WBGene00001117
HCON_00009920	WBGene00044094
HCON_00009940	WBGene00017651
HCON_00009990	WBGene00003409
HCON_00010090	WBGene00001616
HCON_00010100	WBGene00001616
HCON_00010120	WBGene00010565
HCON_00010130	WBGene00006791
HCON_00010160	WBGene00003950
HCON_00010170	WBGene00020625
HCON_00010190	WBGene00013704
HCON_00010200	WBGene00013702
HCON_00010210	WBGene00002063
HCON_00010210	WBGene00002059
HCON_00010210	WBGene00002060
HCON_00010240	WBGene00004224
HCON_00010250	WBGene00001333
HCON_00010260	WBGene00020693
HCON_00010280	WBGene00020694
HCON_00010310	WBGene00001491
HCON_00010330	WBGene00015508
HCON_00010340	WBGene00000440
HCON_00010350	WBGene00013673
HCON_00010360	WBGene00016135
HCON_00010360	WBGene00015324
HCON_00010360	WBGene00008330
HCON_00010360	WBGene00013674
HCON_00010370	WBGene00004489
HCON_00010380	WBGene00013676
HCON_00010430	WBGene00012393
HCON_00010440	WBGene00012390
HCON_00010450	WBGene00077728
HCON_00010490	WBGene00006888
HCON_00010500	WBGene00022027
HCON_00010530	WBGene00022026
HCON_00010540	WBGene00009128
HCON_00010550	WBGene00009127
HCON_00010560	WBGene00001167
HCON_00010610	WBGene00003068
HCON_00010620	WBGene00018898
HCON_00010630	WBGene00017671
HCON_00010640	WBGene00016326
HCON_00010650	WBGene00018510
HCON_00010680	WBGene00008533
HCON_00010710	WBGene00003746
HCON_00010720	WBGene00002220
HCON_00010740	WBGene00016838
HCON_00010750	WBGene00022458
HCON_00010760	WBGene00013538
HCON_00010760	WBGene00016156
HCON_00010760	WBGene00016157
HCON_00010760	WBGene00016158
HCON_00010790	WBGene00007637
HCON_00010800	WBGene00019402
HCON_00010830	WBGene00002189
HCON_00010840	WBGene00020030
HCON_00010850	WBGene00019360
HCON_00010860	WBGene00018897
HCON_00010880	WBGene00020557
HCON_00010890	WBGene00006776
HCON_00010900	WBGene00003793
HCON_00010920	WBGene00003878
HCON_00010930	WBGene00006964
HCON_00010940	WBGene00018847
HCON_00010950	WBGene00018847
HCON_00010960	WBGene00016261
HCON_00010970	WBGene00016260
HCON_00010980	WBGene00020397
HCON_00010990	WBGene00008934
HCON_00011020	WBGene00020402
HCON_00011030	WBGene00020401
HCON_00011050	WBGene00044796
HCON_00011060	WBGene00018467
HCON_00011070	WBGene00006423
HCON_00011090	WBGene00012274
HCON_00011120	WBGene00017010
HCON_00011130	WBGene00022281
HCON_00011140	WBGene00022280
HCON_00011150	WBGene00020030
HCON_00011160	WBGene00015810
HCON_00011180	WBGene00007877
HCON_00011190	WBGene00017936
HCON_00011190	WBGene00014669
HCON_00011210	WBGene00000237
HCON_00011220	WBGene00021553
HCON_00011230	WBGene00000123
HCON_00011270	WBGene00003418
HCON_00011280	WBGene00012156
HCON_00011310	WBGene00020511
HCON_00011330	WBGene00018957
HCON_00011360	WBGene00018512
HCON_00011370	WBGene00006919
HCON_00011390	WBGene00020398
HCON_00011410	WBGene00016906
HCON_00011420	WBGene00016902
HCON_00011460	WBGene00006819
HCON_00011470	WBGene00009371
HCON_00011480	WBGene00016653
HCON_00011490	WBGene00001639
HCON_00011490	WBGene00001638
HCON_00011530	WBGene00012629
HCON_00011530	WBGene00010421
HCON_00011620	WBGene00011030
HCON_00011660	WBGene00022683
HCON_00011670	WBGene00006811
HCON_00011680	WBGene00010924
HCON_00011700	WBGene00010622
HCON_00011720	WBGene00002004
HCON_00011750	WBGene00012343
HCON_00011760	WBGene00004426
HCON_00011780	WBGene00001582
HCON_00011790	WBGene00007215
HCON_00011800	WBGene00019824
HCON_00011820	WBGene00007216
HCON_00011830	WBGene00001372
HCON_00011840	WBGene00011156
HCON_00011840	WBGene00011059
HCON_00011840	WBGene00011155
HCON_00011850	WBGene00011156
HCON_00011850	WBGene00011059
HCON_00011850	WBGene00011155
HCON_00011860	WBGene00011156
HCON_00011860	WBGene00011059
HCON_00011860	WBGene00011155
HCON_00011880	WBGene00006958
HCON_00011890	WBGene00011058
HCON_00011940	WBGene00002070
HCON_00011950	WBGene00010615
HCON_00011960	WBGene00000818
HCON_00011970	WBGene00003036
HCON_00011980	WBGene00011488
HCON_00012040	WBGene00001981
HCON_00012050	WBGene00001836
HCON_00012060	WBGene00003123
HCON_00012070	WBGene00006707
HCON_00012090	WBGene00016655
HCON_00012130	WBGene00000994
HCON_00012150	WBGene00009562
HCON_00012230	WBGene00020903
HCON_00012230	WBGene00016063
HCON_00012230	WBGene00009073
HCON_00012230	WBGene00016066
HCON_00012230	WBGene00017879
HCON_00012230	WBGene00016064
HCON_00012240	WBGene00017980
HCON_00012270	WBGene00004944
HCON_00012280	WBGene00004944
HCON_00012300	WBGene00235383
HCON_00012300	WBGene00019773
HCON_00012320	WBGene00009122
HCON_00012330	WBGene00004408
HCON_00012350	WBGene00022361
HCON_00012400	WBGene00001115
HCON_00012420	WBGene00019434
HCON_00012430	WBGene00013135
HCON_00012520	WBGene00013136
HCON_00012530	WBGene00000294
HCON_00012630	WBGene00000966
HCON_00012640	WBGene00006449
HCON_00012640	WBGene00011910
HCON_00012690	WBGene00008876
HCON_00012700	WBGene00010805
HCON_00012710	WBGene00010807
HCON_00012780	WBGene00007741
HCON_00013030	WBGene00019711
HCON_00013040	WBGene00011612
HCON_00013040	WBGene00000499
HCON_00013050	WBGene00012167
HCON_00013090	WBGene00018907
HCON_00013140	WBGene00008780
HCON_00013150	WBGene00008781
HCON_00013230	WBGene00007128
HCON_00013240	WBGene00022369
HCON_00013250	WBGene00022373
HCON_00013280	WBGene00016294
HCON_00013290	WBGene00012933
HCON_00013300	WBGene00012933
HCON_00013310	WBGene00008031
HCON_00013330	WBGene00002141
HCON_00013340	WBGene00019824
HCON_00013350	WBGene00013679
HCON_00013360	WBGene00002978
HCON_00013370	WBGene00010496
HCON_00013400	WBGene00022824
HCON_00013450	WBGene00022635
HCON_00013470	WBGene00001365
HCON_00013490	WBGene00012518
HCON_00013490	WBGene00021491
HCON_00013490	WBGene00021492
HCON_00013490	WBGene00021487
HCON_00013500	WBGene00001045
HCON_00013500	WBGene00022236
HCON_00013520	WBGene00016189
HCON_00013520	WBGene00005009
HCON_00013530	WBGene00012950
HCON_00013540	WBGene00004190
HCON_00013550	WBGene00000865
HCON_00013550	WBGene00000867
HCON_00013550	WBGene00000866
HCON_00013570	WBGene00003965
HCON_00013580	WBGene00021683
HCON_00013590	WBGene00000812
HCON_00013610	WBGene00022279
HCON_00013620	WBGene00009174
HCON_00013630	WBGene00004268
HCON_00013670	WBGene00008779
HCON_00013770	WBGene00001334
HCON_00013780	WBGene00005078
HCON_00013790	WBGene00012365
HCON_00013800	WBGene00017515
HCON_00013810	WBGene00017515
HCON_00013860	WBGene00004706
HCON_00013870	WBGene00013131
