HmN_000000100	EmuJ_001147800
HmN_000009200	EmuJ_000604600
HmN_000009300	EmuJ_000604700
HmN_000009400	EmuJ_000604900
HmN_000009500	EmuJ_000605000
HmN_000009900	EmuJ_000605300
HmN_000010000	EmuJ_000605200
HmN_000010100	EmuJ_000605100
HmN_000010200	EmuJ_000372600
HmN_000010200	EmuJ_000516100
HmN_000010300	EmuJ_000605500
HmN_000010400	EmuJ_000605600
HmN_000010500	EmuJ_000605700
HmN_000010600	EmuJ_000605800
HmN_000010700	EmuJ_000606100
HmN_000010800	EmuJ_000606300
HmN_000010900	EmuJ_000606900
HmN_000010900	EmuJ_000606400
HmN_000011000	EmuJ_002146400
HmN_000011000	EmuJ_000606800
HmN_000011100	EmuJ_000606700
HmN_000011100	EmuJ_000606600
HmN_000011300	EmuJ_000833200
HmN_000011400	EmuJ_000607000
HmN_000011600	EmuJ_000607200
HmN_000011850	EmuJ_000607500
HmN_000012100	EmuJ_000607600
HmN_000012200	EmuJ_000607800
HmN_000012300	EmuJ_000607900
HmN_000012500	EmuJ_000608100
HmN_000012600	EmuJ_000608000
HmN_000012800	EmuJ_000608300
HmN_000012900	EmuJ_000608600
HmN_000013000	EmuJ_000608700
HmN_000013200	EmuJ_000608800
HmN_000013300	EmuJ_000608900
HmN_000013400	EmuJ_000609000
HmN_000013400	EmuJ_000609200
HmN_000013600	EmuJ_000609400
HmN_000013700	EmuJ_000609500
HmN_000013800	EmuJ_000609600
HmN_000014200	EmuJ_000611400
HmN_000014300	EmuJ_000611300
HmN_000014500	EmuJ_000611100
HmN_000014500	EmuJ_000611000
HmN_000014600	EmuJ_000610900
HmN_000014700	EmuJ_000610700
HmN_000014800	EmuJ_000610600
HmN_000015000	EmuJ_000127400
HmN_000015100	EmuJ_000116500
HmN_000015200	EmuJ_000116400
HmN_000015300	EmuJ_000116200
HmN_000015400	EmuJ_000116100
HmN_000015500	EmuJ_000116000
HmN_000015600	EmuJ_000115900
HmN_000015800	EmuJ_000115700
HmN_000015900	EmuJ_000115600
HmN_000016000	EmuJ_000115500
HmN_000016100	EmuJ_000115400
HmN_000016300	EmuJ_000101600
HmN_000016400	EmuJ_000101500
HmN_000016500	EmuJ_000101200
HmN_000016600	EmuJ_000101100
HmN_000016700	EmuJ_000103000
HmN_000016700	EmuJ_000103500
HmN_000016800	EmuJ_000103400
HmN_000016800	EmuJ_000103100
HmN_000016900	EmuJ_000102700
HmN_000017000	EmuJ_000102600
HmN_000017100	EmuJ_000102500
HmN_000017200	EmuJ_000102400
HmN_000017300	EmuJ_000102300
HmN_000017400	EmuJ_000102200
HmN_000017500	EmuJ_000102100
HmN_000017600	EmuJ_000101800
HmN_000017700	EmuJ_000101900
HmN_000017800	EmuJ_000102000
HmN_000018200	EmuJ_001102500
HmN_000018300	EmuJ_001102400
HmN_000018400	EmuJ_001102300
HmN_000018500	EmuJ_001102200
HmN_000018600	EmuJ_001102100
HmN_000018800	EmuJ_001085550
HmN_000019000	EmuJ_001085700
HmN_000019100	EmuJ_001085800
HmN_000019300	EmuJ_001085900
HmN_000019500	EmuJ_001085900
HmN_000019600	EmuJ_001085900
HmN_000019700	EmuJ_001085900
HmN_000019800	EmuJ_001085900
HmN_000019900	EmuJ_001086400
HmN_000019900	EmuJ_001086100
HmN_000019900	EmuJ_001086000
HmN_000019900	EmuJ_001086200
HmN_000020300	EmuJ_001086500
HmN_000020300	EmuJ_001086700
HmN_000020600	EmuJ_001086800
HmN_000020600	EmuJ_001086900
HmN_000020700	EmuJ_001087300
HmN_000020900	EmuJ_000735100
HmN_000021000	EmuJ_001087500
HmN_000021200	EmuJ_001087700
HmN_000021300	EmuJ_001120100
HmN_000021500	EmuJ_001088000
HmN_000021600	EmuJ_001088200
HmN_000021700	EmuJ_001088800
HmN_000021800	EmuJ_001088900
HmN_000021900	EmuJ_001089200
HmN_000022100	EmuJ_000106600
HmN_000022500	EmuJ_000103600
HmN_000022600	EmuJ_000103800
HmN_000022700	EmuJ_000103900
HmN_000022800	EmuJ_000104000
HmN_000023000	EmuJ_000104200
HmN_000023100	EmuJ_000104300
HmN_000023400	EmuJ_000104900
HmN_000023600	EmuJ_000104800
HmN_000023800	EmuJ_000105000
HmN_000023900	EmuJ_000105200
HmN_000024000	EmuJ_000105300
HmN_000024100	EmuJ_000105600
HmN_000024200	EmuJ_000117800
HmN_000024300	EmuJ_000117700
HmN_000024800	EmuJ_000110800
HmN_000024900	EmuJ_000110700
HmN_000025000	EmuJ_000119000
HmN_000025100	EmuJ_000118900
HmN_000025300	EmuJ_000117100
HmN_000025400	EmuJ_000117000
HmN_000025500	EmuJ_000107300
HmN_000025600	EmuJ_000107200
HmN_000025700	EmuJ_000107120
HmN_000025800	EmuJ_000107000
HmN_000025900	EmuJ_000106900
HmN_000026000	EmuJ_000118400
HmN_000026100	EmuJ_000118500
HmN_000026300	EmuJ_000892600
HmN_000026400	EmuJ_000892800
HmN_000026500	EmuJ_000010400
HmN_000026600	EmuJ_000893000
HmN_000026700	EmuJ_000893100
HmN_000026900	EmuJ_000893400
HmN_000027000	EmuJ_000893500
HmN_000027100	EmuJ_000893600
HmN_000027200	EmuJ_000893700
HmN_000027300	EmuJ_000893800
HmN_000027400	EmuJ_000894000
HmN_000027500	EmuJ_000894100
HmN_000027700	EmuJ_000894500
HmN_000027900	EmuJ_000894700
HmN_000028000	EmuJ_000894800
HmN_000028100	EmuJ_000894900
HmN_000028200	EmuJ_000895000
HmN_000028500	EmuJ_000895500
HmN_000029300	EmuJ_000896000
HmN_000029400	EmuJ_000896200
HmN_000029500	EmuJ_000896300
HmN_000029600	EmuJ_000896400
HmN_000029700	EmuJ_000896600
HmN_000029800	EmuJ_000896700
HmN_000029900	EmuJ_000896900
HmN_000030000	EmuJ_000897100
HmN_000030100	EmuJ_000897200
HmN_000030200	EmuJ_000897300
HmN_000030700	EmuJ_000882600
HmN_000030900	EmuJ_000781500
HmN_000031000	EmuJ_000781400
HmN_000031200	EmuJ_002197100
HmN_000031200	EmuJ_000781200
HmN_000031400	EmuJ_000780800
HmN_000031500	EmuJ_000780700
HmN_000031600	EmuJ_000780600
HmN_000031700	EmuJ_000780600
HmN_000031800	EmuJ_000780600
HmN_000031900	EmuJ_000780400
HmN_000032000	EmuJ_000780500
HmN_000032100	EmuJ_000780300
HmN_000032200	EmuJ_000780100
HmN_000032400	EmuJ_000779700
HmN_000032800	EmuJ_000779300
HmN_000032800	EmuJ_000779400
HmN_000032900	EmuJ_000779200
HmN_000033000	EmuJ_000779100
HmN_000033100	EmuJ_000779000
HmN_000033200	EmuJ_000778900
HmN_000033300	EmuJ_000778700
HmN_000033400	EmuJ_000778400
HmN_000033500	EmuJ_000778300
HmN_000033600	EmuJ_000778100
HmN_000033700	EmuJ_000778000
HmN_000033800	EmuJ_000777900
HmN_000033900	EmuJ_000777800
HmN_000034100	EmuJ_000777500
HmN_000034500	EmuJ_000755000
HmN_000034500	EmuJ_000754900
HmN_000034500	EmuJ_000755150
HmN_000034600	EmuJ_000747100
HmN_000034700	EmuJ_000776400
HmN_000034900	EmuJ_000776300
HmN_000035000	EmuJ_000776200
HmN_000035300	EmuJ_000776000
HmN_000035400	EmuJ_000775900
HmN_000035700	EmuJ_000775800
HmN_000035800	EmuJ_000777200
HmN_000036600	EmuJ_000808900
HmN_000036700	EmuJ_000806500
HmN_000037000	EmuJ_000807200
HmN_000037200	EmuJ_000807400
HmN_000037300	EmuJ_000807500
HmN_000037400	EmuJ_000807600
HmN_000037500	EmuJ_000807700
HmN_000037600	EmuJ_000807900
HmN_000037700	EmuJ_000808000
HmN_000037800	EmuJ_000808200
HmN_000037900	EmuJ_000808300
HmN_000038100	EmuJ_000808400
HmN_000038200	EmuJ_000808600
HmN_000038300	EmuJ_000808700
HmN_000038500	EmuJ_000806300
HmN_000038600	EmuJ_000806200
HmN_000038700	EmuJ_000806100
HmN_000038800	EmuJ_000805900
HmN_000038900	EmuJ_000372600
HmN_000038900	EmuJ_000516100
HmN_000039000	EmuJ_000805800
HmN_000039100	EmuJ_000805700
HmN_000039200	EmuJ_000805600
HmN_000039300	EmuJ_000761600
HmN_000039400	EmuJ_000010200
HmN_000039600	EmuJ_000768700
HmN_000039900	EmuJ_000739300
HmN_000040000	EmuJ_000774700
HmN_000040300	EmuJ_000774500
HmN_000040400	EmuJ_000774400
HmN_000040500	EmuJ_000774300
HmN_000040700	EmuJ_000774200
HmN_000040900	EmuJ_000774000
HmN_000041100	EmuJ_000773900
HmN_000041300	EmuJ_000773800
HmN_000041400	EmuJ_000773700
HmN_000041500	EmuJ_000773600
HmN_000041800	EmuJ_001074000
HmN_000041900	EmuJ_000773400
HmN_000042000	EmuJ_000773300
HmN_000042100	EmuJ_000773200
HmN_000042200	EmuJ_000773100
HmN_000042200	EmuJ_000005600
HmN_000042300	EmuJ_000773000
HmN_000042400	EmuJ_000772900
HmN_000042700	EmuJ_000772800
HmN_000042900	EmuJ_000810600
HmN_000043100	EmuJ_000774900
HmN_000043100	EmuJ_000774800
HmN_000043200	EmuJ_000775000
HmN_000043300	EmuJ_000775200
HmN_000043400	EmuJ_000775300
HmN_000043600	EmuJ_000775450
HmN_000043700	EmuJ_000775500
HmN_000043800	EmuJ_000775600
HmN_000043900	EmuJ_000777100
HmN_000044500	EmuJ_000765400
HmN_000044600	EmuJ_000765600
HmN_000044700	EmuJ_000765700
HmN_000045000	EmuJ_000766300
HmN_000045100	EmuJ_000766400
HmN_000045200	EmuJ_000766500
HmN_000045300	EmuJ_000766600
HmN_000045500	EmuJ_000766700
HmN_000045600	EmuJ_000766900
HmN_000046300	EmuJ_000674400
HmN_000046400	EmuJ_000674500
HmN_000046400	EmuJ_002153000
HmN_000046700	EmuJ_000674700
HmN_000046800	EmuJ_000674800
HmN_000046900	EmuJ_000674900
HmN_000047000	EmuJ_000675100
HmN_000047100	EmuJ_000675300
HmN_000047200	EmuJ_000675500
HmN_000047400	EmuJ_000632510
HmN_000047600	EmuJ_000632300
HmN_000047700	EmuJ_000632100
HmN_000047800	EmuJ_000631900
HmN_000048200	EmuJ_000631700
HmN_000048600	EmuJ_000631500
HmN_000048700	EmuJ_000631400
HmN_000048800	EmuJ_000631300
HmN_000048900	EmuJ_000631200
HmN_000049000	EmuJ_000629900
HmN_000049100	EmuJ_000630000
HmN_000049200	EmuJ_000630100
HmN_000049300	EmuJ_000630200
HmN_000049500	EmuJ_000372600
HmN_000049500	EmuJ_000516100
HmN_000049700	EmuJ_000530700
HmN_000049800	EmuJ_000530600
HmN_000049900	EmuJ_000530600
HmN_000050300	EmuJ_000927200
HmN_000050400	EmuJ_000372600
HmN_000050400	EmuJ_000516100
HmN_000050500	EmuJ_000530340
HmN_000050600	EmuJ_000530320
HmN_000050900	EmuJ_000530200
HmN_000051000	EmuJ_000530100
HmN_000051100	EmuJ_000530000
HmN_000051400	EmuJ_000529700
HmN_000051800	EmuJ_000529400
HmN_000052400	EmuJ_000529000
HmN_000052600	EmuJ_000528800
HmN_000052700	EmuJ_000528710
HmN_000052800	EmuJ_000528710
HmN_000052900	EmuJ_000528500
HmN_000053000	EmuJ_000528400
HmN_000053100	EmuJ_000528200
HmN_000053200	EmuJ_000528250
HmN_000053400	EmuJ_000527500
HmN_000053500	EmuJ_000527600
HmN_000053700	EmuJ_000527800
HmN_000053800	EmuJ_000528000
HmN_000053900	EmuJ_000372600
HmN_000053900	EmuJ_000516100
HmN_000054000	EmuJ_000527300
HmN_000054200	EmuJ_000527400
HmN_000054400	EmuJ_000525600
HmN_000054600	EmuJ_000526000
HmN_000054700	EmuJ_000526100
HmN_000054900	EmuJ_000665500
HmN_000055000	EmuJ_000526300
HmN_000055100	EmuJ_000526400
HmN_000055300	EmuJ_000526700
HmN_000055500	EmuJ_000526900
HmN_000055600	EmuJ_000527000
HmN_000055700	EmuJ_000527100
HmN_000055800	EmuJ_000527200
HmN_000056100	EmuJ_000525500
HmN_000056200	EmuJ_002162200
HmN_000056300	EmuJ_000525400
HmN_000056300	EmuJ_000525100
HmN_000056600	EmuJ_000372600
HmN_000056600	EmuJ_000516100
HmN_000056800	EmuJ_000517400
HmN_000056900	EmuJ_000517350
HmN_000057000	EmuJ_000520000
HmN_000057200	EmuJ_000519500
HmN_000057400	EmuJ_000519400
HmN_000057600	EmuJ_000519200
HmN_000057700	EmuJ_000519000
HmN_000057800	EmuJ_000519100
HmN_000058000	EmuJ_000518900
HmN_000058300	EmuJ_000518500
HmN_000058300	EmuJ_000518700
HmN_000058700	EmuJ_000518600
HmN_000058700	EmuJ_000518400
HmN_000058800	EmuJ_000518300
HmN_000059000	EmuJ_000518200
HmN_000059100	EmuJ_000518100
HmN_000059300	EmuJ_001180700
HmN_000059500	EmuJ_001180900
HmN_000059700	EmuJ_001181100
HmN_000059800	EmuJ_001181300
HmN_000060000	EmuJ_001181400
HmN_000060200	EmuJ_001181500
HmN_000060300	EmuJ_001181600
HmN_000060400	EmuJ_001181720
HmN_000060500	EmuJ_001181900
HmN_000060600	EmuJ_001181950
HmN_000060900	EmuJ_001182000
HmN_000061000	EmuJ_001182200
HmN_000061200	EmuJ_001182400
HmN_000061800	EmuJ_001183100
HmN_000062000	EmuJ_001183400
HmN_000062200	EmuJ_001184100
HmN_000062200	EmuJ_000567800
HmN_000062300	EmuJ_001184200
HmN_000062400	EmuJ_001184300
HmN_000062500	EmuJ_001184400
HmN_000062600	EmuJ_001184600
HmN_000062700	EmuJ_001184700
HmN_000062800	EmuJ_001184800
HmN_000062900	EmuJ_001184900
HmN_000063100	EmuJ_001185100
HmN_000063100	EmuJ_001185000
HmN_000063200	EmuJ_001185200
HmN_000063300	EmuJ_001185300
HmN_000063350	EmuJ_001185500
HmN_000063500	EmuJ_001185600
HmN_000063700	EmuJ_001185700
HmN_000063900	EmuJ_001186000
HmN_000064000	EmuJ_001186100
HmN_000064100	EmuJ_001185900
HmN_000064200	EmuJ_001186300
HmN_000064300	EmuJ_000574600
HmN_000064300	EmuJ_000575200
HmN_000064400	EmuJ_000575600
HmN_000064400	EmuJ_000574500
HmN_000064400	EmuJ_000575300
HmN_000064500	EmuJ_000574300
HmN_000064600	EmuJ_000574200
HmN_000064700	EmuJ_000574000
HmN_000064800	EmuJ_001189200
HmN_000065000	EmuJ_001189100
HmN_000065100	EmuJ_001188800
HmN_000065200	EmuJ_001188700
HmN_000065300	EmuJ_001188600
HmN_000065400	EmuJ_001188500
HmN_000065500	EmuJ_001188400
HmN_000065600	EmuJ_001188300
HmN_000065700	EmuJ_001188200
HmN_000065800	EmuJ_001188000
HmN_000066000	EmuJ_001187600
HmN_000066100	EmuJ_001187400
HmN_000066300	EmuJ_001186900
HmN_000066400	EmuJ_001186800
HmN_000066600	EmuJ_001186700
HmN_000066700	EmuJ_001186600
HmN_000066900	EmuJ_000009100
HmN_000067100	EmuJ_000574900
HmN_000067200	EmuJ_000575900
HmN_000067300	EmuJ_000576000
HmN_000067500	EmuJ_000576500
HmN_000067600	EmuJ_000576600
HmN_000067700	EmuJ_000576700
HmN_000067900	EmuJ_001201100
HmN_000067900	EmuJ_001200700
HmN_000068000	EmuJ_001201000
HmN_000068100	EmuJ_001200900
HmN_000068300	EmuJ_001200500
HmN_000068400	EmuJ_001200400
HmN_000068500	EmuJ_001200200
HmN_000068600	EmuJ_001200300
HmN_000068700	EmuJ_001195100
HmN_000068800	EmuJ_001195000
HmN_000068900	EmuJ_001194900
HmN_000069000	EmuJ_001194600
HmN_000069200	EmuJ_001194500
HmN_000069500	EmuJ_001193500
HmN_000069800	EmuJ_001193900
HmN_000069900	EmuJ_001194000
HmN_000070000	EmuJ_001194100
HmN_000070100	EmuJ_001194200
HmN_000070200	EmuJ_001194300
HmN_000070300	EmuJ_001193000
HmN_000070400	EmuJ_001192900
HmN_000070500	EmuJ_001192500
HmN_000070600	EmuJ_001192300
HmN_000070700	EmuJ_001192200
HmN_000070800	EmuJ_001192100
HmN_000070900	EmuJ_001191900
HmN_000071200	EmuJ_000995600
HmN_000071300	EmuJ_000995500
HmN_000071400	EmuJ_000995400
HmN_000071500	EmuJ_000995300
HmN_000071600	EmuJ_000995200
HmN_000072000	EmuJ_000994900
HmN_000072200	EmuJ_000994600
HmN_000072300	EmuJ_000994400
HmN_000072400	EmuJ_000994300
HmN_000072500	EmuJ_000994200
HmN_000072600	EmuJ_000994100
HmN_000072700	EmuJ_000994000
HmN_000072800	EmuJ_001024900
HmN_000073000	EmuJ_001025000
HmN_000073200	EmuJ_001025350
HmN_000073300	EmuJ_001025400
HmN_000073400	EmuJ_001025500
HmN_000073600	EmuJ_001025600
HmN_000073700	EmuJ_001025700
HmN_000073800	EmuJ_001025800
HmN_000073900	EmuJ_001026000
HmN_000074000	EmuJ_001026100
HmN_000074100	EmuJ_001026200
HmN_000074300	EmuJ_001026300
HmN_000074500	EmuJ_001026500
HmN_000074800	EmuJ_001009300
HmN_000074900	EmuJ_000708500
HmN_000075000	EmuJ_001009400
HmN_000075100	EmuJ_001009500
HmN_000075200	EmuJ_001009600
HmN_000075300	EmuJ_001009700
HmN_000075500	EmuJ_001009900
HmN_000075600	EmuJ_001010000
HmN_000075700	EmuJ_000999800
HmN_000075900	EmuJ_001010100
HmN_000076000	EmuJ_001010200
HmN_000076300	EmuJ_001010400
HmN_000076400	EmuJ_001010500
HmN_000076500	EmuJ_001010600
HmN_000076600	EmuJ_001010800
HmN_000076700	EmuJ_001011000
HmN_000076800	EmuJ_001011100
HmN_000076900	EmuJ_001011250
HmN_000077700	EmuJ_001011600
HmN_000077800	EmuJ_001011800
HmN_000078000	EmuJ_001011900
HmN_000078200	EmuJ_001012000
HmN_000078300	EmuJ_001012100
HmN_000078500	EmuJ_001012300
HmN_000078600	EmuJ_001012400
HmN_000078700	EmuJ_001012500
HmN_000078800	EmuJ_001012600
HmN_000078900	EmuJ_001012700
HmN_000079100	EmuJ_001012800
HmN_000079500	EmuJ_001013000
HmN_000079600	EmuJ_001013100
HmN_000079700	EmuJ_001013200
HmN_000079900	EmuJ_001013300
HmN_000080000	EmuJ_001013400
HmN_000080100	EmuJ_001013500
HmN_000080200	EmuJ_001013600
HmN_000080300	EmuJ_001013700
HmN_000080400	EmuJ_001024800
HmN_000080500	EmuJ_001024700
HmN_000080600	EmuJ_001024500
HmN_000081000	EmuJ_001024100
HmN_000081100	EmuJ_001024200
HmN_000081300	EmuJ_001024000
HmN_000081400	EmuJ_001023900
HmN_000081500	EmuJ_001023700
HmN_000081600	EmuJ_001023600
HmN_000082300	EmuJ_000595500
HmN_000082500	EmuJ_000595600
HmN_000082600	EmuJ_000595700
HmN_000082800	EmuJ_000596100
HmN_000082900	EmuJ_000596200
HmN_000083000	EmuJ_000596300
HmN_000083400	EmuJ_000596800
HmN_000083600	EmuJ_000596600
HmN_000083700	EmuJ_000596400
HmN_000083800	EmuJ_000596900
HmN_000083900	EmuJ_000597000
HmN_000084000	EmuJ_000597100
HmN_000084100	EmuJ_000597200
HmN_000084200	EmuJ_000597400
HmN_000084300	EmuJ_000597500
HmN_000084500	EmuJ_000597600
HmN_000084600	EmuJ_000597700
HmN_000084800	EmuJ_000597800
HmN_000084900	EmuJ_000597900
HmN_000085000	EmuJ_000598000
HmN_000085100	EmuJ_000598100
HmN_000085200	EmuJ_000598200
HmN_000085300	EmuJ_000598300
HmN_000085400	EmuJ_000598400
HmN_000085500	EmuJ_000598500
HmN_000085600	EmuJ_000598600
HmN_000085700	EmuJ_000598700
HmN_000085700	EmuJ_000917200
HmN_000085900	EmuJ_000599000
HmN_000086700	EmuJ_000601000
HmN_000086900	EmuJ_000600800
HmN_000087000	EmuJ_000599100
HmN_000087100	EmuJ_000600700
HmN_000087200	EmuJ_000600500
HmN_000087300	EmuJ_000599800
HmN_000087400	EmuJ_000599900
HmN_000087500	EmuJ_000600100
HmN_000087700	EmuJ_000600600
HmN_000087800	EmuJ_000534400
HmN_000087900	EmuJ_000534300
HmN_000088000	EmuJ_000534200
HmN_000088200	EmuJ_000538400
HmN_000088300	EmuJ_000177000
HmN_000088400	EmuJ_000537400
HmN_000088500	EmuJ_000537050
HmN_000088600	EmuJ_000537000
HmN_000088700	EmuJ_000536900
HmN_000088800	EmuJ_000536800
HmN_000088900	EmuJ_000536700
HmN_000089100	EmuJ_002148600
HmN_000089100	EmuJ_000635600
HmN_000089100	EmuJ_000636000
HmN_000089300	EmuJ_000536400
HmN_000089400	EmuJ_000536200
HmN_000089400	EmuJ_000536300
HmN_000089500	EmuJ_000536100
HmN_000089600	EmuJ_000536000
HmN_000089700	EmuJ_000535900
HmN_000089800	EmuJ_000535800
HmN_000089900	EmuJ_000535700
HmN_000090100	EmuJ_000535500
HmN_000090700	EmuJ_000863400
HmN_000090800	EmuJ_000863500
HmN_000090900	EmuJ_000863700
HmN_000091100	EmuJ_002018400
HmN_000091300	EmuJ_000054300
HmN_000091500	EmuJ_000422200
HmN_000091600	EmuJ_000422100
HmN_000091700	EmuJ_000421900
HmN_000092100	EmuJ_000422000
HmN_000092200	EmuJ_000421700
HmN_000092300	EmuJ_000421550
HmN_000092600	EmuJ_000421400
HmN_000092700	EmuJ_000421200
HmN_000092800	EmuJ_000420800
HmN_000092800	EmuJ_002120200
HmN_000092900	EmuJ_000420700
HmN_000092900	EmuJ_000421050
HmN_000093000	EmuJ_000709200
HmN_000093200	EmuJ_000709100
HmN_000093500	EmuJ_000708800
HmN_000093600	EmuJ_000708700
HmN_000093700	EmuJ_000708600
HmN_000093800	EmuJ_000192000
HmN_000093800	EmuJ_000114800
HmN_000093800	EmuJ_000191900
HmN_000093800	EmuJ_001160400
HmN_000093800	EmuJ_000192100
HmN_000093800	EmuJ_000114900
HmN_000094300	EmuJ_000192000
HmN_000094300	EmuJ_000114800
HmN_000094300	EmuJ_000191900
HmN_000094300	EmuJ_001160400
HmN_000094300	EmuJ_000192100
HmN_000094300	EmuJ_000114900
HmN_000094600	EmuJ_000708400
HmN_000094700	EmuJ_000708200
HmN_000095000	EmuJ_000707800
HmN_000095100	EmuJ_000707700
HmN_000095200	EmuJ_000707500
HmN_000095300	EmuJ_000707400
HmN_000095400	EmuJ_000707300
HmN_000095600	EmuJ_000707200
HmN_000095800	EmuJ_000706900
HmN_000095900	EmuJ_000706800
HmN_000096000	EmuJ_000706700
HmN_000096100	EmuJ_000706600
HmN_000096300	EmuJ_000706500
HmN_000096400	EmuJ_000706400
HmN_000096500	EmuJ_000706300
HmN_000096800	EmuJ_000706000
HmN_000096900	EmuJ_000705900
HmN_000097000	EmuJ_000705800
HmN_000097100	EmuJ_000705600
HmN_000097100	EmuJ_000705500
HmN_000097200	EmuJ_000705100
HmN_000097200	EmuJ_000705200
HmN_000097300	EmuJ_000705000
HmN_000097500	EmuJ_000704800
HmN_000097900	EmuJ_000704400
HmN_000098000	EmuJ_000704300
HmN_000098100	EmuJ_000704200
HmN_000098200	EmuJ_000678900
HmN_000098200	EmuJ_002153500
HmN_000098300	EmuJ_000056800
HmN_000098400	EmuJ_000056900
HmN_000098500	EmuJ_000057100
HmN_000098600	EmuJ_000057200
HmN_000098700	EmuJ_000057300
HmN_000099000	EmuJ_000065300
HmN_000099100	EmuJ_000065100
HmN_000099300	EmuJ_000064700
HmN_000099400	EmuJ_000064500
HmN_000099500	EmuJ_000064400
HmN_000099600	EmuJ_000064300
HmN_000099800	EmuJ_000063800
HmN_000099900	EmuJ_000063610
HmN_000100000	EmuJ_000063500
HmN_000100100	EmuJ_000063400
HmN_000100300	EmuJ_000063100
HmN_000100400	EmuJ_000700100
HmN_000100700	EmuJ_000580600
HmN_000100800	EmuJ_000580700
HmN_000100900	EmuJ_000580800
HmN_000101000	EmuJ_000581100
HmN_000101100	EmuJ_000581000
HmN_000101200	EmuJ_000581200
HmN_000101300	EmuJ_000581400
HmN_000101400	EmuJ_000581500
HmN_000101500	EmuJ_000581600
HmN_000101600	EmuJ_000581700
HmN_000101700	EmuJ_000581800
HmN_000101800	EmuJ_000581900
HmN_000101900	EmuJ_000582100
HmN_000102000	EmuJ_000582200
HmN_000102200	EmuJ_000582400
HmN_000102400	EmuJ_000582650
HmN_000102700	EmuJ_000582900
HmN_000103200	EmuJ_000798700
HmN_000103400	EmuJ_000798800
HmN_000103500	EmuJ_000798900
HmN_000103600	EmuJ_000799100
HmN_000103700	EmuJ_000799200
HmN_000103800	EmuJ_000799300
HmN_000104300	EmuJ_000799400
HmN_000104400	EmuJ_000799500
HmN_000104500	EmuJ_000799600
HmN_000104600	EmuJ_000799700
HmN_000104700	EmuJ_000799800
HmN_000104800	EmuJ_000800000
HmN_000104900	EmuJ_000800100
HmN_000105000	EmuJ_000800200
HmN_000105100	EmuJ_000800300
HmN_000105200	EmuJ_000800500
HmN_000105300	EmuJ_000800600
HmN_000105400	EmuJ_000800700
HmN_000105500	EmuJ_000800800
HmN_000105800	EmuJ_000801200
HmN_000105900	EmuJ_000801400
HmN_000106100	EmuJ_000801500
HmN_000106200	EmuJ_000801600
HmN_000106300	EmuJ_000801700
HmN_000106400	EmuJ_000801800
HmN_000106500	EmuJ_000802000
HmN_000106600	EmuJ_000802300
HmN_000106700	EmuJ_000802200
HmN_000106800	EmuJ_000802100
HmN_000106900	EmuJ_000802500
HmN_000107000	EmuJ_000802600
HmN_000107200	EmuJ_000803000
HmN_000107300	EmuJ_000803100
HmN_000107400	EmuJ_000803300
HmN_000107500	EmuJ_000803500
HmN_000107700	EmuJ_000803600
HmN_000108000	EmuJ_000803800
